edge_id,road_id,from_node,to_node,normal_minutes,disrupted_minutes,road_disruption_probability_0_1,candidate_closure_status,subdistrict_id,bridge_flag
MS-EDGE-0016644,546930295,N-99.8883146-20.3836867,N-99.8877088-20.3838034,0.154712,0.222785,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016645,546930295,N-99.8877088-20.3838034,N-99.8874216-20.3838483,0.072837,0.104886,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016646,546930295,N-99.8874216-20.3838483,N-99.8871595-20.3839172,0.068095,0.098057,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016647,546930295,N-99.8871595-20.3839172,N-99.8871128-20.3839719,0.018697,0.026923,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016648,546930295,N-99.8871128-20.3839719,N-99.8871245-20.3840310,0.016041,0.023099,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016649,546930295,N-99.8871245-20.3840310,N-99.8871792-20.3842253,0.053628,0.077224,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016650,546930296,N-99.8898009-20.3892547,N-99.8897687-20.3890677,0.05055,0.072792,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016651,546930296,N-99.8897687-20.3890677,N-99.8897022-20.3887198,0.094322,0.135823,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016652,546930296,N-99.8897022-20.3887198,N-99.8896900-20.3886642,0.015148,0.021814,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016653,546930296,N-99.8896900-20.3886642,N-99.8896251-20.3885022,0.04618,0.0665,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016654,546930296,N-99.8896251-20.3885022,N-99.8895398-20.3882644,0.066952,0.096411,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016655,546930296,N-99.8895398-20.3882644,N-99.8894007-20.3876495,0.167746,0.241554,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016656,546930296,N-99.8894007-20.3876495,N-99.8892257-20.3869853,0.182579,0.262914,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016657,546930296,N-99.8892257-20.3869853,N-99.8890955-20.3866487,0.09555,0.137592,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016658,546930296,N-99.8890955-20.3866487,N-99.8888008-20.3857848,0.242047,0.348547,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016659,546930298,N-99.8902672-20.3875762,N-99.8901547-20.3867520,0.221745,0.319313,0.11,candidate_open_with_delay,TH570904,False
